"idPlato","nombre","descripcion","precio","esTemporada"
"1","Gazpacho Andaluz","Sopa fría de tomates frescos y pimiento","8.5","true"
"2","Entrecot de Ternerassssssssdsefsef","Corte premium a la parrilla con sal Maldon","22.0","false"
"3","Risotto de Setas","Arroz cremoso con variedad de hongos silvestres","15.5","true"
"4","Tarta de Queso","Casera con base de galleta y mermelada de arándanos","6.0","false"
"5","Ensalada César","Lechuga romana con pollo crujiente y salsa clásica","11.0","false"
"6","Bacalao al Pil-Pil","Lomo de bacalao confitado con emulsión de ajo","18.5","false"
"7","Sopa de Cebolla","Clásica francesa gratinada con queso Gruyère","9.0","true"
"8","Hamburguesa Gourmet","Carne Angus con cebolla caramelizada y cabra","14.5","false"
"9","Pasta Carbonara","Receta original con guanciale y huevo","13.0","false"
"10","Sorbete de Limón","Postre refrescante con un toque de menta","5.0","true"
"11","Croquetas de Jamón","Bechamel suave con virutas de jamón ibérico","10.0","false"
"12","Pulpo a la Gallega","Con pimentón de la Vera y patatas cocidas","21.0","false"
"13","Crema de Calabaza","Suave y tibia con pipas tostadas","7.5","true"
"14","Lasaña de Verduras","Láminas de pasta con hortalizas de la huerta","12.5","false"
"15","Solomillo al Whisky","Medallón de cerdo con salsa reducida","16.0","false"
"16","Paella de Marisco","Arroz con gambas calamares y mejillones","19.0","true"
"17","Tacos de Cochinita","Tres tacos con cebolla encurtida y picante","12.0","false"
"18","Ceviche de Corvina","Marinado en lima con cilantro y ají","17.5","true"
"19","Profiteroles","Rellenos de nata con chocolate caliente","7.0","false"
"20","Vino de la Casa","Copa de tinto crianza Rioja","4.5","false"
"21","Canelones de Carne","Pasta rellena con sofrito tradicional","13.5","false"
"22","Espárragos Trigueros","A la plancha con escamas de sal","9.5","true"
"23","Brocheta de Pollo","Marinado en soja y miel con verduras","11.5","false"
"24","Flan de Huevo","Receta de la abuela con caramelo líquido","4.5","false"
"25","Tartar de Atún","Atún rojo con aguacate y sésamo","19.5","true"
"26","Tortilla Española","Con patata y cebolla recién hecha","7.0","false"
"27","Gnocchi al Pesto","Pasta de patata con albahaca y piñones","12.0","false"
"28","Costillas BBQ","Cocinadas a baja temperatura por 12 horas","18.0","false"
"29","Salmorejo Cordobés","Más espeso que el gazpacho con huevo duro","8.5","true"
"30","Brownie de Chocolate","Con nueces y una bola de vainilla","6.5","false"
"31","Hummus de Garbanzo","Servido con pan de pita caliente","7.5","false"
"32","Lubina a la Sal","Pescado blanco al horno muy jugoso","20.0","true"
"33","Muslo de Pato Confit","Con puré de manzana y reducción de oporto","19.0","false"
"34","Calamares a la Romana","Anillos de calamar fresco rebozados","12.5","false"
"35","Ensaladilla Rusa","Patata atún y mayonesa artesana","8.0","false"
"36","Carpaccio de Buey","Cortes finos con parmesano y rúcula","15.0","false"
"37","Raviolis de Espinacas","Rellenos de ricotta y espinacas tiernas","13.0","false"
"38","Macedonia de Frutas","Fruta de temporada cortada al momento","5.5","true"
"39","Chuletón de Ávila","600g de carne madurada a la brasa","32.0","false"
"40","Sepia a la Plancha","Con aliño de ajo y perejil","14.0","false"
"41","Crema Catalana","Postre quemado con azúcar cristalizado","6.0","false"
"42","Ratatouille","Guiso de verduras provenzal","11.5","true"
"43","Poke de Salmón","Bol de arroz con edamame y pescado crudo","14.0","false"
"44","Albóndigas en Salsa","De ternera con receta tradicional","12.0","false"
"45","Gambas al Ajillo","Peladas y salteadas con guindilla","16.0","false"
"46","Tiramisú","Clásico italiano con mascarpone y café","7.0","false"
"47","Sopa de Picadillo","Caldo de pollo con huevo y jamón","7.0","true"
"48","Burrata con Tomate","Queso cremoso sobre cama de tomates secos","13.5","true"
"49","Cochinillo Asado","Piel crujiente y carne tierna","24.0","true"
"50","Fajitas de Ternera","Tiras de carne con pimientos y tortillas","15.5","false"
"51","Nigiri de Salmón","Piezas de sushi de arroz y pescado","9.0","false"
"52","Tempura de Verduras","Hortalizas fritas en masa ligera","10.5","true"
"53","Carrillera de Cerdo","Guisada al vino tinto con puré","17.0","false"
"54","Natillas Caseras","Con un toque de canela y galleta","4.5","false"
"55","Ajo Blanco","Sopa fría de almendras y uvas","8.0","true"
"56","Mejillones al Vapor","Con limón y hoja de laurel","11.0","true"
"57","Pizza Margarita","Tomate mozzarella y albahaca fresca","10.0","false"
"58","Tataki de Atún","Sellado por fuera y crudo por dentro","18.0","false"
"59","Arroz Negro","Con tinta de sepia y alioli","16.5","true"
"60","Coulant de Chocolate","Bizcocho con corazón fundido","7.5","false"
"61","Espaguetis Frutti di Mare","Con almejas gambas y mejillones","15.5","false"
"62","Escalope Milanesa","Filete de pollo empanado con patatas","11.0","false"
"63","Judías Verdes con Jamón","Salteadas con ajos tiernos","9.0","true"
"64","Dorada a la Espalda","Abierta a la plancha con ajos","18.0","false"
"65","Quiche de Queso","Tarta salada con mezcla de quesos","10.5","true"
"66","Milhojas de Nata","Capas de hojaldre crujiente","6.0","false"
"67","Wok de Fideos","Con verduras y salsa de ostras","12.0","false"
"68","Bacalao Dorado","Revuelto de bacalao patata y huevo","14.0","false"
"69","Crema de Espárragos","Textura aterciopelada de temporada","8.0","true"
"70","Pechuga de Pavo","A la plancha para opción ligera","10.0","false"
"71","Champiñones al Ajillo","Salteados con mucho sabor","8.5","false"
"72","Lemon Pie","Tarta de limón con merengue suizo","6.5","false"
"73","Steak Tartar","Carne picada aliñada al gusto del cliente","21.0","false"
"74","Alcachofas con Berberechos","Combinación de mar y tierra","16.5","true"
"75","Sándwich Club","Triple piso con pollo bacon y huevo","10.5","false"
"76","Rollitos de Primavera","Rellenos de col y zanahoria","7.0","false"
"77","Curry de Pollo","Estilo indio con arroz basmati","14.5","false"
"78","Panna Cotta","De vainilla con sirope de fresa","5.5","false"
"79","Fabada Asturiana","Guiso contundente de alubias","15.0","true"
"80","Chipirones Afuegados","En su tinta con un toque picante","13.5","false"
"81","Gyozas de Cerdo","Empanadillas japonesas al vapor","9.0","false"
"82","Gazpacho de Sandía","Variante frutal muy refrescante","8.5","true"
"83","Lomo Alto de Buey","Corte madurado 45 días","28.0","false"
"84","Gamba Roja de Denia","Producto fresco a la plancha","25.0","true"
"85","Crepe de Nutella","Relleno generoso de chocolate","6.0","false"
"86","Ensalada de Quinoa","Con granada y frutos secos","11.0","true"
"87","Codillo de Cerdo","Estilo alemán con chucrut","17.5","false"
"88","Sushi Variado","12 piezas de rolls y nigiris","22.0","false"
"89","Sopa Miso","Tradicional japonesa con tofu","6.0","false"
"90","Huevos Rotos","Con jamón ibérico y patatas fritas","12.0","false"
"91","Tarta de Manzana","Hojaldre fino con fruta natural","6.5","true"
"92","Poke de Atún","Con mango aguacate y salsa ponzu","14.5","false"
"93","Callos a la Madrileña","Guiso tradicional con mucho sabor","13.0","true"
"94","Fettuccine Alfredo","Salsa cremosa de mantequilla y queso","12.5","false"
"95","Zumo de Naranja","Recién exprimido 100% natural","4.0","true"
"96","Tempura de Langostinos","Seis piezas con salsa tentsuyu","15.0","false"
"97","Couscous de Cordero","Con especias árabes y verduras","16.5","false"
"98","Helado Artesano","Dos bolas a elegir sabor","5.0","false"
"99","Merluza en Salsa Verde","Con almejas y perejil","19.0","false"
"100","Trufas de Chocolate","Artesanas con cacao puro","5.5","false"
